Time (Sec);S2;S64;S65;S66;S67;S68;S69;S70;S71;S72;S73;S74;S75;S76;S77;S78;S79;S80;S81;S82;S83;S84;S85;S86;S87;S88;S89;S9;S99;
0.0;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;
0.14100000000000001;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;
0.21000000000000002;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;
0.35100000000000003;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;
0.42000000000000004;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;
0.561;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;
0.6300000000000001;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;
0.7040000000000002;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;
0.8400000000000001;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;
0.9140000000000001;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19159.9999;19160.0;19160.0;
